,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
70,263181301,1,0.898,1.0,0.651,322,161,161,0,115,0.292,0.0,0.0,0.0
71,266876301,1,3.601,4.0,0.651,922,461,461,0,338,5.836,0.0,0.0,0.0
72,267044101,1,0.791,1.0,0.752,1576,788,788,0,591,0.216,0.0,0.169,0.0
73,267411001,1,1.215,1.0,0.651,674,337,337,0,245,1.012,0.0,0.0,0.0
74,268164901,1,0.74,1.0,0.672,1002,501,501,0,366,0.075,0.0,0.046,0.0
75,268192501,1,0.999,1.0,0.651,1596,798,798,0,595,0.696,0.0,0.001,0.0
76,269306201,1,1.652,2.0,0.652,1118,559,559,0,421,1.911,0.0,0.001,0.0
77,270552801,1,1.649,2.0,0.651,1293,647,646,1,484,1.921,0.0,0.001,0.0
78,270862901,1,1.026,1.0,0.651,518,259,259,0,191,0.608,0.0,0.0,0.0
79,271207601,1,0.892,1.0,0.651,252,126,126,0,87,0.279,0.0,0.001,0.0
80,271501201,1,3.036,4.0,0.651,1216,608,608,0,449,5.12,0.0,0.0,0.0
81,271671501,23,1.281,3.0,0.651,1214,618,596,22,404,1.772,0.08,2.4,0.0
82,273687001,1,0.944,2.0,0.652,28,14,14,0,5,0.994,0.0,0.001,0.0
83,274252701,1,0.997,1.0,0.652,1612,806,806,0,595,0.693,0.0,0.001,0.0
85,282893001,1,1.161,1.0,0.904,1586,793,793,0,590,0.988,0.0,0.404,0.0
86,283237601,1,0.773,1.0,0.65,448,224,224,0,158,0.086,0.0,0.0,0.0
87,284492401,1,1.576,2.0,0.903,1620,810,810,0,592,1.837,0.0,0.253,0.0
88,285373201,1,0.84,1.0,0.697,958,479,479,0,353,0.265,0.0,0.047,0.0
89,285391201,1,1.628,2.0,0.651,206,103,103,0,71,1.783,0.0,0.001,0.0
90,287074901,1,1.349,2.0,0.903,1588,794,794,0,593,1.494,0.0,0.253,0.0
91,287392801,1,0.79,1.0,0.651,1608,804,804,0,596,0.216,0.0,0.0,0.0
92,287882201,1,0.763,1.0,0.65,1406,703,703,0,524,0.171,0.0,0.0,0.0
94,291918801,1,1.232,1.0,0.796,1230,615,615,0,456,1.085,0.0,0.145,0.0
95,294077501,1,1.102,1.0,0.836,1052,526,526,0,391,0.826,0.0,0.185,0.0
96,294851801,1,1.196,1.0,0.651,1606,803,803,0,594,1.029,0.0,0.0,0.0
