,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
72,267044101,1,0.699,1.0,0.672,1578,789,789,0,591,0.102,0.0,0.022,0.0
73,267411001,1,1.643,2.0,0.651,674,337,337,0,245,1.999,0.0,0.0,0.0
74,268164901,3,1.655,2.0,0.904,1026,514,512,2,366,2.011,0.0,1.006,0.0
75,268192501,155,1.309,2.0,0.651,3408,1781,1627,154,595,1.464,0.0,1.003,0.0
76,269306201,1,0.751,1.0,0.651,1118,559,559,0,421,0.201,0.0,0.0,0.0
77,270552801,1,0.65,1.0,0.65,1293,647,646,1,484,0.0,0.24,0.0,0.0
78,270862901,1,0.786,1.0,0.651,518,259,259,0,191,0.28,0.0,0.001,0.0
79,271207601,1,0.774,1.0,0.652,252,126,126,0,87,0.252,0.0,0.001,0.0
80,271501201,1,0.688,1.0,0.652,1216,608,608,0,449,0.124,0.0,0.001,0.0
81,271671501,1,1.359,2.0,0.903,1078,539,539,0,404,1.597,0.0,0.253,0.0
82,273687001,1,1.37,2.0,0.652,28,14,14,0,5,1.837,0.0,0.001,0.0
83,274252701,1,0.681,1.0,0.651,1612,806,806,0,595,0.062,0.0,0.0,1.0
84,275473701,1,0.681,1.0,0.652,246,123,123,0,88,0.068,0.0,0.002,0.0
85,282893001,1,0.699,1.0,0.673,1588,794,794,0,590,0.102,0.0,0.022,0.0
86,283237601,1,0.72,1.0,0.65,448,224,224,0,158,0.142,0.0,0.0,0.0
87,284492401,1,0.733,1.0,0.651,1620,810,810,0,592,0.175,0.0,0.0,0.0
88,285373201,1,0.651,1.0,0.651,958,479,479,0,353,0.001,0.0,0.001,0.0
89,285391201,1,0.686,1.0,0.652,206,103,103,0,71,0.074,0.0,0.002,0.0
91,287392801,1,0.726,1.0,0.651,1608,804,804,0,596,0.196,0.0,0.0,0.0
92,287882201,1,0.683,1.0,0.65,1406,703,703,0,524,0.065,0.0,0.0,1.0
94,291918801,1,1.045,1.0,0.82,1230,615,615,0,456,0.816,0.0,0.169,0.0
95,294077501,1,0.687,1.0,0.651,1052,526,526,0,391,0.072,0.0,0.0,0.0
96,294851801,1,0.678,1.0,0.65,1606,803,803,0,594,0.095,0.63,0.0,1.0
97,295786301,1,1.095,1.0,0.752,912,456,456,0,336,0.902,0.0,0.101,0.0
98,295832401,1,0.723,1.0,0.65,598,299,299,0,220,0.155,0.0,0.0,1.0
99,296967301,1,0.674,1.0,0.65,1596,798,798,0,592,0.059,0.0,0.0,0.0
101,298719001,1,0.795,1.0,0.651,476,238,238,0,175,0.29,0.0,0.001,0.0
102,303018401,1,1.244,2.0,0.651,1592,796,796,0,591,1.406,0.0,0.001,0.0
103,303502201,88,1.372,2.0,0.904,2447,1267,1180,87,583,1.53,0.0,1.006,0.0
104,305705001,1,0.651,1.0,0.65,1586,793,793,0,591,0.0,0.0,0.0,0.0
105,311266501,1,0.651,1.0,0.651,1598,799,799,0,593,0.002,0.0,0.001,0.0
106,312987901,1,0.734,1.0,0.651,1600,800,800,0,595,0.206,0.0,0.0,0.0
108,313599001,1,0.775,1.0,0.697,882,441,441,0,320,0.271,0.0,0.046,0.0
110,316062301,1,0.705,1.0,0.651,1244,622,622,0,463,0.112,0.0,0.0,0.0
