,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,0.869,1.0,0.65,908,454,454,0,337,0.445,0.0,0.102,0.0
2,178483501,1,0.804,1.0,0.65,124,62,62,0,44,0.313,0.0,0.0,0.0
3,178885001,1,0.712,1.0,0.651,1572,786,786,0,590,0.135,0.0,0.022,0.0
4,181758601,1,0.937,1.0,0.651,528,264,264,0,199,0.582,0.0,0.036,0.0
5,182232701,1,0.895,2.0,0.65,1572,786,786,0,591,0.898,0.0,0.0,0.0
7,183533601,1,0.884,1.0,0.651,647,324,323,1,242,0.476,0.0,0.0,0.0
8,184507401,4,1.235,2.0,0.651,661,332,329,3,247,1.398,0.0,0.503,0.0
9,185892901,1,0.899,1.0,0.779,972,486,486,0,364,0.562,0.0,0.255,0.0
10,186028501,3,0.807,1.0,0.65,1594,798,796,2,592,0.353,0.0,0.108,0.0
11,186821501,1,0.739,2.0,0.651,723,362,361,1,267,0.388,0.0,0.001,0.0
12,187319101,1,0.744,1.0,0.65,106,53,53,0,38,0.194,0.0,0.0,0.0
13,187426001,1,1.001,1.0,0.651,462,231,231,0,170,0.715,0.0,0.0,0.0
14,187758401,3,0.686,1.0,0.65,1612,807,805,2,594,0.073,0.0,0.015,0.0
15,187781201,1,0.651,1.0,0.65,1218,609,609,0,462,0.0,0.5,0.0,0.0
16,189660101,1,0.774,1.0,0.65,677,339,338,1,256,0.252,0.0,0.0,0.0
17,189877301,1,0.899,1.0,0.65,499,250,249,1,190,0.531,0.0,0.0,0.0
18,192487201,1,0.707,1.0,0.651,860,430,430,0,326,0.12,0.0,0.0,0.0
19,195978501,1,0.981,1.0,0.796,689,345,344,1,254,0.7,0.0,0.145,0.0
20,196727701,1,0.731,1.0,0.668,868,434,434,0,323,0.162,0.0,0.018,0.0
21,199485101,3,0.955,1.0,0.651,308,155,153,2,110,0.637,0.0,0.326,0.0
22,199836701,1,1.166,2.0,0.651,598,299,299,0,226,1.06,0.0,0.0,0.0
23,200512301,5,0.691,2.0,0.65,1414,709,705,4,531,0.097,0.0,0.638,0.0
24,202213001,1,0.829,1.0,0.65,1300,650,650,0,486,0.447,0.0,0.084,0.0
25,202911501,1,0.713,1.0,0.65,634,317,317,0,236,0.138,0.0,0.0,1.0
26,204654801,1,0.772,1.0,0.65,1582,791,791,0,592,0.314,0.0,0.0,0.0
27,205014901,1,0.834,1.0,0.651,1004,502,502,0,372,0.399,0.0,0.0,0.0
28,206569901,1,0.778,1.0,0.688,510,255,255,0,193,0.255,0.0,0.001,0.0
29,207082401,3,0.688,2.0,0.65,1392,697,695,2,527,0.09,0.0,0.821,0.33
30,208812001,1,1.05,1.0,0.652,354,177,177,0,133,0.825,0.0,0.002,0.0
31,210350901,1,1.646,2.0,0.65,288,144,144,0,107,2.006,0.0,0.0,0.0
32,210919601,1,0.924,1.0,0.652,604,302,302,0,225,0.559,0.0,0.0,0.0
33,212667701,1,0.721,1.0,0.651,1572,786,786,0,593,0.172,0.0,0.0,0.0
34,212769701,1,1.03,1.0,0.752,368,184,184,0,140,0.763,0.0,0.084,0.0
35,214367601,1,1.07,1.0,0.651,312,156,156,0,119,0.859,0.0,0.002,0.0
36,217649401,1,0.704,1.0,0.668,1578,789,789,0,590,0.124,0.0,0.056,0.0
37,217764201,1,0.651,1.0,0.65,1360,680,680,0,509,0.001,0.0,0.001,0.0
38,218303001,3,0.749,2.0,0.651,1602,802,800,2,594,0.208,0.0,0.326,0.0
39,218688101,1,0.91,1.0,0.65,1316,658,658,0,482,0.535,0.0,0.0,0.0
40,219468301,1,0.809,1.0,0.65,1454,727,727,0,544,0.378,0.0,0.036,0.0
41,219511701,1,0.992,2.0,0.65,1416,708,708,0,530,0.833,0.0,0.0,0.0
42,219900501,3,0.823,2.0,0.651,1132,567,565,2,426,0.375,0.0,0.146,0.0
43,220699801,1,0.718,1.0,0.65,640,320,320,0,236,0.137,0.0,0.0,0.0
44,220961301,1,1.137,1.0,0.651,72,36,36,0,24,1.002,0.0,0.101,0.0
45,222570001,3,0.717,2.0,0.683,770,386,384,2,293,0.127,0.0,0.028,0.0
46,222993101,1,0.689,1.0,0.651,1566,783,783,0,595,0.099,0.0,0.001,0.0
47,223048501,1,0.956,1.0,0.65,668,334,334,0,249,0.662,0.0,0.08,0.0
48,223120401,1,0.799,1.0,0.651,1574,787,787,0,591,0.362,0.0,0.184,0.0
49,223856401,1,0.729,1.0,0.706,950,475,475,0,350,0.158,0.0,0.056,0.0
50,224397101,1,0.729,1.0,0.651,930,465,465,0,352,0.158,0.0,0.0,0.0
51,226600001,1,0.724,1.0,0.65,1200,600,600,0,451,0.152,0.0,0.0,0.0
52,231526101,3,0.956,2.0,0.65,1584,793,791,2,591,0.794,0.0,0.157,0.0
53,232198601,1,0.801,2.0,0.697,1522,761,761,0,565,0.351,0.0,0.169,0.0
55,235994101,1,0.905,2.0,0.751,509,255,254,1,194,0.504,0.0,0.101,0.0
56,236937001,1,0.655,1.0,0.651,126,63,63,0,47,0.0,0.0,0.0,0.0
57,240029901,1,0.797,1.0,0.65,1548,774,774,0,591,0.404,0.0,0.0,0.0
58,240989701,1,0.897,1.0,0.651,528,264,264,0,203,0.499,0.0,0.001,0.0
59,242921301,1,1.091,1.0,0.65,274,137,137,0,104,0.888,0.0,0.08,0.0
60,245740201,1,0.721,1.0,0.668,1604,802,802,0,592,0.172,0.0,0.026,0.0
61,247273001,1,0.81,1.0,0.752,809,405,404,1,305,0.357,0.0,0.101,0.0
62,248044901,1,0.746,1.0,0.65,1588,794,794,0,591,0.197,0.0,0.079,0.0
63,253529101,1,0.651,1.0,0.65,1596,798,798,0,596,0.0,0.0,0.0,0.0
64,256334601,1,1.044,1.0,0.651,492,246,246,0,181,0.797,0.0,0.001,0.0
65,257051801,1,0.952,2.0,0.651,1614,807,807,0,595,0.707,0.0,0.0,0.0
66,257872901,1,0.968,2.0,0.651,202,101,101,0,75,0.772,0.0,0.001,0.0
67,259827801,1,0.808,1.0,0.715,1404,702,702,0,519,0.363,0.0,0.169,0.0
68,261217901,1,1.569,2.0,0.652,176,88,88,0,66,1.92,0.0,0.0,0.0
69,262938201,1,1.008,1.0,0.65,148,74,74,0,55,0.737,0.0,0.101,0.0
