,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_mse,opt_rate,discovery_mse,discovery_rate
43,283237601,5,0.045430894308943086,0.0944,0.03,193,97,96,1,110.0,0.0006494000000000002,0.14,0.00105,0.0
44,284492401,6,0.04944235294117647,0.096,0.03,244,122,122,0,167.0,0.00120046582278481,0.25,0.00195,0.0
45,287074901,4,0.04048406779661018,0.0944,0.03,618,309,309,0,593.0,0.0012942174742268042,0.07,0.00042,0.25
46,294077501,4,0.04121029411764705,0.0992,0.03,314,157,157,0,284.0,0.00026731393939393946,0.18,0.00059,0.0
47,294851801,1,0.04025472972972973,0.05,0.03,604,302,302,0,593.0,0.0005104145423728814,0.12,6e-05,0.0
48,295832401,4,0.04519748427672956,0.1,0.03,199,100,99,1,150.0,0.0020271011333333334,0.19,0.0011,0.0
49,296967301,7,0.049959763313609476,0.0992,0.03,253,127,126,1,167.0,0.0014697267532467531,0.23,0.00164,0.14
50,297260101,3,0.035442977528089885,0.1,0.00375,202,101,101,0,167.0,0.0013710790988372093,0.33,0.00476,0.33
51,298719001,3,0.030677304964539007,0.09519999999999999,0.00375,181,91,90,1,147.0,0.00018553089552238806,0.37,0.00046,0.33
52,303018401,1,0.02366454918032787,0.05,0.00375,244,122,122,0,247.0,0.002358493719008265,0.36,0.0,1.0
53,311266501,7,0.038883561643835614,0.0984,0.0038,522,261,261,0,427.0,0.00034660528301886794,0.33,0.00153,0.14
54,313099201,7,0.042508219178082195,0.09519999999999999,0.03,364,182,182,0,291.0,0.00040499798561151085,0.26,0.00115,0.14
55,313599001,5,0.04189034749034749,0.0984,0.03,335,168,167,1,249.0,0.004308898286290322,0.01,0.00174,0.0
56,316062301,3,0.04222608695652173,0.09759999999999999,0.0304,162,81,81,0,140.0,0.00010847999999999999,0.21,0.0007,0.0
57,323653801,2,0.023613535911602215,0.08,0.0038,193,97,96,1,173.0,9.904727272727272e-05,0.6,0.00282,0.5
58,325995301,1,0.03974551282051282,0.05,0.03,632,316,316,0,592.0,0.00012163344051446943,0.25,0.0001,0.0
59,328599801,3,0.04038287937743191,0.0768,0.03,301,151,150,1,254.0,0.00010733055999999999,0.29,0.00095,0.0
60,331554501,1,0.022436363636363643,0.0496,0.00375,78,39,39,0,62.0,0.0010911927343750004,0.56,2e-05,0.0
61,332552101,6,0.04198686131386861,0.09359999999999999,0.03,336,168,168,0,277.0,0.00040629496183206107,0.14,0.00038,0.0
62,334480801,5,0.04210030581039755,0.1,0.03,393,197,196,1,304.0,0.00022223898734177215,0.46,0.00155,0.0
63,341378901,2,0.022869396551724142,0.0656,0.00375,128,64,64,0,112.0,0.0017032735714285715,0.36,0.00048,0.5
64,342552501,3,0.04097684210526316,0.0992,0.03,202,101,101,0,186.0,0.0015412402717391305,0.11,0.00061,0.67
65,345397901,2,0.04019372822299651,0.08560000000000001,0.03,307,154,153,1,292.0,0.0007132907446808512,0.1,0.00077,0.0
66,346006301,1,0.04004196721311476,0.05,0.03,622,311,311,0,594.0,0.00016286631578947368,0.14,0.00015,0.0
67,348606901,11,0.03471853448275862,0.1,0.00375,604,302,302,0,473.0,0.0004113078733031675,0.46,0.00128,0.09
68,351329101,6,0.04122275862068965,0.0992,0.03,658,329,329,0,593.0,0.00021806647887323945,0.15,0.00121,0.0
69,353021501,2,0.03938412698412698,0.0496,0.03,146,73,73,0,112.0,0.0006248007377049181,0.05,7e-05,0.0
70,356373201,1,0.03993566433566434,0.05,0.03,155,78,77,1,139.0,0.0001610285714285714,0.16,1e-05,0.0
71,358732701,5,0.040658974358974365,0.0968,0.03,670,335,335,0,594.0,0.0002294170684039088,0.11,0.00164,0.2
72,364627301,3,0.042175,0.0992,0.03,264,132,132,0,214.0,0.00030384880733944964,0.27,0.00062,0.0
73,365969701,7,0.043016993464052286,0.0984,0.03,418,209,209,0,289.0,0.00045371506849315076,0.18,0.00091,0.0
74,368897601,2,0.040298039215686275,0.0984,0.03,175,88,87,1,145.0,0.00014281297297297297,0.11,0.00139,0.0
75,373885001,27,0.05897808219178083,0.1,0.03,18056,9035,9021,14,157.99999999999997,0.002107583396226415,0.26,0.00162,0.08
76,380172301,3,0.03983102625298329,0.0824,0.03,455,228,227,1,425.0,0.0010748946601941746,0.12,0.00046,0.33
77,385043601,1,0.031962605042016805,0.05,0.00375,127,64,63,1,125.0,8.462068965517243e-05,0.48,0.0,1.0
78,386517601,1,0.039894972067039104,0.05,0.03,191,96,95,1,180.0,0.0001411836363636363,0.18,0.00016,0.0
79,389837201,5,0.0408271186440678,0.1,0.03,644,322,322,0,594.0,0.00022725131034482756,0.12,0.00254,0.0
80,389872601,5,0.03724020737327189,0.0984,0.0038,508,254,254,0,455.0,0.0001284664150943396,0.25,0.0008,0.2
81,395191801,18,0.046219164619164615,0.1,0.03,3767,1887,1880,7,412.0,0.0007292263829787234,0.28,0.00142,0.0
82,395575601,6,0.04436258992805755,0.0992,0.03,213,107,106,1,126.0,0.00017483428571428566,0.97,0.00139,0.17
